model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,44,4.753,1,1,1,44,44,1,340.823,13.787,7220.536,4.753,0.149,2376.45,74.264,72.533,5.281,6.396,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,24.278,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,74.264
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,32,4.617,1,1,1,32,32,1,340.823,12.778,6717.045,4.617,0.144,2308.74,72.148,78.259,5.281,5.019,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,24.031,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,72.148
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,22,3.484,1,1,1,22,22,1,340.823,11.642,6150.181,3.484,0.109,1742.02,54.438,85.893,5.281,3.787,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.826,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,54.438
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,18,3.179,1,1,1,18,18,1,340.823,10.44,5550.383,3.179,0.099,1589.3,49.666,95.788,5.281,3.455,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.744,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,49.666
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,16,3.001,1,1,1,16,16,1,340.823,9.828,5244.995,3.001,0.094,1500.52,46.891,101.748,5.281,3.262,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.703,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,46.891
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,11,2.287,1,1,1,11,11,1,340.823,8.869,4766.454,2.287,0.071,1143.56,35.736,112.757,5.281,2.486,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.6,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,35.736
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,7,1.667,1,1,1,7,7,1,340.823,7.741,4203.582,1.667,0.052,833.52,26.048,129.18,5.281,1.812,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.518,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,26.048
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,5,1.395,1,1,1,5,5,1,340.823,6.611,3639.712,1.395,0.044,697.36,21.793,151.258,5.281,1.516,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.477,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,21.793
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,3,1.035,1,1,1,3,3,1,340.823,5.342,3006.481,1.035,0.032,517.5,16.172,187.199,5.281,1.125,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.436,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,16.172
sgl-project/DeepSeek-V4-Flash-FP8,2048,500,0,2,0.796,1,1,1,2,2,1,340.823,4.634,2653.189,0.796,0.025,397.9,12.434,215.799,5.281,0.865,32,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,26.982,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,16,1,1,1,16,tp16pp1dp1etp1ep16,fp8_block,fp8,bfloat16,fp8_block,half,23.415,sglang,0.5.10.post2,rtx_pro_6000_scaleup_32x1,0.0,12.434
